SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,5947 Collingsworth,Houston,TX,77026,39500,,,Englewood Acres,,5000,,82,,,Active,,,http://www.redfin.com/TX/Houston/5947-Collingsworth-St-77026/home/147405373,HARMLS,52105355,N,Y,29.7946509,-95.3111682
MLS Listing,,Vacant Land,4023 King St,Houston,TX,77026,69000,,,Wilshire Place,,9200,,82,,,Active,,,http://www.redfin.com/TX/Houston/4023-King-St-77026/home/29957948,HARMLS,48250393,N,Y,29.818315,-95.330848
MLS Listing,,Vacant Land,3320 Creston Dr,Houston,TX,77026,78000,,,Creston Place Ext,,10244,,82,,,Active,,,http://www.redfin.com/TX/Houston/3320-Creston-Dr-77026/home/29960404,HARMLS,54887479,N,Y,29.8189359,-95.3371
MLS Listing,,Vacant Land,3810 Lynnfield St,Houston,TX,77016,42500,,,Westcott Gardens Sec 05,,8400,,82,,,Active,,,http://www.redfin.com/TX/Houston/3810-Lynnfield-St-77016/home/29980188,HARMLS,52236948,N,Y,29.820269,-95.33325
MLS Listing,,Vacant Land,5210 Denmark St,Houston,TX,77016,48000,,,Trinity Gardens Sec 03,,15276,,82,,,Active,,,http://www.redfin.com/TX/Houston/5210-Denmark-St-77016/home/144358925,HARMLS,44064825,N,Y,29.827279,-95.314514
MLS Listing,,Single Family Residential,7629 Bellingham Dr,Houston,TX,77028,163000,3,2.0,Glen Manor,1103,7200,1950,82,148,,Active,,,http://www.redfin.com/TX/Houston/7629-Bellingham-Dr-77028/home/29999924,HARMLS,63459834,N,Y,29.8452824,-95.2900067
MLS Listing,,Vacant Land,0 Haddick St,Houston,TX,77028,55000,,,Timmerman Place,,14000,,84,,,Active,,,http://www.redfin.com/TX/HOUSTON/HADDICK-ST-77028/home/30027785,HARMLS,85699033,N,Y,29.848886,-95.271447
MLS Listing,,Multi-Family (2-4 Unit),2010 Caplin St,Houston,TX,77026,350000,0,4.0,Huntington Place,4926,6000,1945,84,71,,Active,,,http://www.redfin.com/TX/Houston/2010-Caplin-St-77026/home/29946658,HARMLS,77575926,N,Y,29.8155948,-95.3486749
MLS Listing,,Single Family Residential,8222 Autumn Ln,Houston,TX,77016,145000,2,1.0,Berry School,1120,3950,1965,84,129,,Active,,,http://www.redfin.com/TX/Houston/8222-Autumn-Ln-77016/home/29917172,HARMLS,70708646,N,Y,29.835633,-95.3224022
MLS Listing,,Multi-Family (2-4 Unit),4701 Hoffman St,Houston,TX,77026,750000,0,9.0,Kashmere Gardens,6633,17340,1965,86,113,150,Active,,,http://www.redfin.com/TX/Houston/4701-Hoffman-St-77026/home/29937731,HARMLS,53623570,N,Y,29.803515,-95.3132
MLS Listing,,Single Family Residential,314 White Cedar St,Houston,TX,77015,237000,3,4.5,Woodforest Sec 14,2741,11050,1968,86,86,21,Active,,,http://www.redfin.com/TX/Houston/314-White-Cedar-St-77015/home/30221444,HARMLS,85492695,N,Y,29.7963973,-95.1839235
MLS Listing,,Single Family Residential,4108 Buck St #3,Houston,TX,77020,339900,3,3.5,Modern at Buck,1971,,2020,86,172,,Active,,,http://www.redfin.com/TX/Houston/4108-Buck-St-77020/unit-3/home/171548321,HARMLS,61403428,N,Y,29.769877,-95.3295106
MLS Listing,,Single Family Residential,7610 Tully St,Houston,TX,77016,253900,4,3.5,Scenic Woods,2132,10729,2019,87,119,,Active,,,http://www.redfin.com/TX/Houston/7610-Tully-St-77016/home/30084326,HARMLS,54506339,N,Y,29.8661107,-95.2907518
MLS Listing,,Single Family Residential,8022 Record St,Houston,TX,77028,225000,3,2.0,Clairmont Place Sec 02,,7020,2020,87,,,Active,,,http://www.redfin.com/TX/Houston/8022-Record-St-77028/home/30021415,HARMLS,56761120,N,Y,29.846461,-95.281447
MLS Listing,,Single Family Residential,218 Hoffman St,Houston,TX,77020,179900,4,2.0,Denver,1610,6250,1950,89,112,,Active,,,http://www.redfin.com/TX/Houston/218-Hoffman-St-77020/home/29664196,HARMLS,38087523,N,Y,29.7848806,-95.310761
MLS Listing,,Single Family Residential,8016 Munn St,Houston,TX,77029,139900,6,2.0,Port Houston Ns,1912,5000,1948,89,73,,Active,,,http://www.redfin.com/TX/Houston/8016-Munn-St-77029/home/29731281,HARMLS,57824704,N,Y,29.7609377,-95.2846688
MLS Listing,,Vacant Land,3313 Baer St,Houston,TX,77020,220000,,,Swiney Add,,5000,,89,,,Active,,,http://www.redfin.com/TX/Houston/3313-Baer-St-77020/home/29758133,HARMLS,29502209,N,Y,29.7681741,-95.3359661
MLS Listing,,Single Family Residential,8730 Josie St,Houston,TX,77029,136999,3,2.0,Pleasantville Sec 06,1200,6105,1954,93,114,,Active,,,http://www.redfin.com/TX/Houston/8730-Josie-St-77029/home/30075141,HARMLS,22935425,N,Y,29.7624379,-95.268505
MLS Listing,,Single Family Residential,8125 Tidwell Rd,Houston,TX,77028,285000,2,1.0,Townley Place,,28080,1960,94,,,Active,,,http://www.redfin.com/TX/Houston/8125-Tidwell-Rd-77028/home/30038193,HARMLS,65660783,N,Y,29.8502431,-95.2767698
MLS Listing,,Vacant Land,8135 Tidwell Rd,Houston,TX,77028,299000,,,Townley Place Add,,14040,,95,,,Active,,,http://www.redfin.com/TX/Houston/8135-Tidwell-Rd-77078/home/169905613,HARMLS,15819392,N,Y,29.8501038,-95.276219
MLS Listing,,Vacant Land,8133 Tidwell Rd,Houston,TX,77028,74900,,,Townley Place,,7020,,95,,,Active,,,http://www.redfin.com/TX/Houston/8133-Tidwell-Rd-77028/home/171420232,HARMLS,15140814,N,Y,29.850151,-95.276438
MLS Listing,,Multi-Family (2-4 Unit),4417 A-B Bennington St #2,Houston,TX,77016,299854,0,3.0,Trinity Gardens,2600,16800,1960,95,115,,Active,,,http://www.redfin.com/TX/Houston/4417-A-B-Bennington-St-77016/unit-2/home/170178340,HARMLS,53549278,N,Y,29.822591,-95.324857
MLS Listing,,Vacant Land,6106 Laura Koppe Rd,Houston,TX,77016,46000,,,Shadydale,,15276,,95,,,Active,,,http://www.redfin.com/TX/Houston/6106-Bertwood-St-77016/home/144358936,HARMLS,2331059,N,Y,29.8325264,-95.3096123
MLS Listing,,Vacant Land,4021 King St,Houston,TX,77026,52000,,,Wilshire Place,,9215,,95,,,Active,,,http://www.redfin.com/TX/Houston/4021-King-St-77026/home/29957993,HARMLS,42703005,N,Y,29.818313,-95.331005
